Show,E,S,Holiday,On Server/Playlist,Month
30 Rock,9,2,Christmas,Yes,December
30 Rock,6,3,Christmas,Yes,December
30 Rock,3,4,Halloween,Yes,October
30 Rock,8,4,Christmas,Yes,December
30 Rock,10,5,Christmas,Yes,December
30 Rock,8,7,Christmas,Yes,December
Animaniacs,117,1,Christmas,Yes,December
Animaniacs,121,1,Christmas,Yes,December
Animaniacs,15,5,Christmas,Yes,December
Arrested Development,6,2,Christmas,No,December
Arrow,9,1,Christmas,No,December
Black Mirror,7,,Christmas,No,December
Bob's Burgers,2,3,Halloween,No,October
Bob's Burgers,5,3,Thanksgiving,No,November
Bob's Burgers,9,3,Christmas,No,December
Bob's Burgers,2,4,Halloween,No,October
Bob's Burgers,5,4,Thanksgiving,No,November
Bob's Burgers,8,4,Christmas,No,December
Bob's Burgers,2,5,Halloween,Yes,October
Bob's Burgers,4,5,Thanksgiving,No,November
Bob's Burgers,6,5,Christmas,No,December
Bob's Burgers,3,6,Halloween,Yes,October
Bob's Burgers,4,6,Thanksgiving,Yes,November
Bob's Burgers,5,6,Christmas,Yes,December
Bob's Burgers,3,7,Halloween,Yes,October
Bob's Burgers,6,7,Thanksgiving,Yes,November
Bob's Burgers,7,7,Christmas,Yes,December
Bob's Burgers,3,8,Halloween,Yes,October
Bob's Burgers,5,8,Thanksgiving,Yes,November
Bob's Burgers,6,8,Christmas,No,December
Bob's Burgers,7,8,Christmas,No,December
Bob's Burgers,4,9,Halloween,Yes,October
Bob's Burgers,7,9,Thanksgiving,Yes,November
Bob's Burgers,10,9,Christmas,Yes,December
Bob's Burgers,4,10,Halloween,Yes,October
Bob's Burgers,8,10,Thanksgiving,Yes,November
Bob's Burgers,10,10,Christmas,Yes,December
Bob's Burgers,4,11,Halloween,Yes,October
Bob's Burgers,7,11,Thanksgiving,Yes,November
Bob's Burgers,10,11,Christmas,Yes,December
Bob's Burgers,3,12,Halloween,Yes,October
BoJack Horseman,8,5,Halloween,Yes,October
Bojack Horseman,,Special,Christmas,No,December
Brooklyn Nine-Nine,10,1,Thanksgiving,Yes,November
Brooklyn Nine-Nine,11,1,Christmas,Yes,December
Brooklyn Nine-Nine,10,2,Christmas,Yes,December
Brooklyn Nine-Nine,5,3,Halloween,Yes,October
Brooklyn Nine-Nine,10,3,Christmas,Yes,December
Brooklyn Nine-Nine,5,4,Halloween,Yes,October
Brooklyn Nine-Nine,10,4,Christmas,Yes,December
Brooklyn Nine-Nine,4,5,Halloween,Yes,October
Brooklyn Nine-Nine,7,5,Thanksgiving,Yes,November
